  0.4687346E+01   0.1040047E-06   0.2974259E-07
  0.4727439E+01   0.1058863E-06   0.2976923E-07
  0.4767876E+01   0.1077991E-06   0.2979513E-07
  0.4808658E+01   0.1097437E-06   0.2982028E-07
  0.4849789E+01   0.1117205E-06   0.2984469E-07
  0.4891272E+01   0.1137299E-06   0.2986833E-07
  0.4933110E+01   0.1157725E-06   0.2989122E-07
  0.4975306E+01   0.1178486E-06   0.2991333E-07
  0.5017862E+01   0.1199588E-06   0.2993468E-07
  0.5060783E+01   0.1221036E-06   0.2995525E-07
  0.5104071E+01   0.1242835E-06   0.2997505E-07
  0.5147729E+01   0.1264989E-06   0.2999406E-07
  0.5191760E+01   0.1287503E-06   0.3001228E-07
  0.5236168E+01   0.1310383E-06   0.3002971E-07
  0.5280956E+01   0.1333634E-06   0.3004634E-07
  0.5326127E+01   0.1357261E-06   0.3006217E-07
  0.5371685E+01   0.1381269E-06   0.3007719E-07
  0.5417632E+01   0.1405664E-06   0.3009140E-07
  0.5463972E+01   0.1430451E-06   0.3010480E-07
  0.5510708E+01   0.1455634E-06   0.3011739E-07
  0.5557845E+01   0.1481221E-06   0.3012915E-07
  0.5605384E+01   0.1507215E-06   0.3014008E-07
  0.5653330E+01   0.1533624E-06   0.3015019E-07
  0.5701686E+01   0.1560452E-06   0.3015946E-07
  0.5750456E+01   0.1587704E-06   0.3016789E-07
  0.5799643E+01   0.1615388E-06   0.3017548E-07
  0.5849250E+01   0.1643508E-06   0.3018223E-07
  0.5899282E+01   0.1672071E-06   0.3018813E-07
  0.5949742E+01   0.1701082E-06   0.3019318E-07
  0.6000634E+01   0.1730547E-06   0.3019737E-07
  0.6051961E+01   0.1760473E-06   0.3020070E-07
  0.6103727E+01   0.1790865E-06   0.3020317E-07
  0.6155935E+01   0.1821729E-06   0.3020478E-07
  0.6208590E+01   0.1853072E-06   0.3020551E-07
  0.6261696E+01   0.1884900E-06   0.3020538E-07
  0.6315256E+01   0.1917219E-06   0.3020437E-07
  0.6369274E+01   0.1950035E-06   0.3020248E-07
  0.6423754E+01   0.1983356E-06   0.3019971E-07
  0.6478700E+01   0.2017186E-06   0.3019605E-07
  0.6534116E+01   0.2051534E-06   0.3019151E-07
  0.6590006E+01   0.2086404E-06   0.3018608E-07
  0.6646374E+01   0.2121805E-06   0.3017976E-07
  0.6703224E+01   0.2157742E-06   0.3017254E-07
  0.6760561E+01   0.2194222E-06   0.3016442E-07
  0.6818387E+01   0.2231253E-06   0.3015541E-07
  0.6876709E+01   0.2268840E-06   0.3014549E-07
  0.6935529E+01   0.2306991E-06   0.3013467E-07
  0.6994853E+01   0.2345712E-06   0.3012295E-07
  0.7054684E+01   0.2385011E-06   0.3011031E-07
  0.7115027E+01   0.2424895E-06   0.3009676E-07
  0.7175885E+01   0.2465371E-06   0.3008230E-07
  0.7237265E+01   0.2506445E-06   0.3006693E-07
  0.7299169E+01   0.2548125E-06   0.3005064E-07
  0.7361603E+01   0.2590419E-06   0.3003344E-07
  0.7424571E+01   0.2633332E-06   0.3001531E-07
  0.7488078E+01   0.2676874E-06   0.2999626E-07
  0.7552128E+01   0.2721051E-06   0.2997629E-07
  0.7616725E+01   0.2765870E-06   0.2995540E-07
  0.7681875E+01   0.2811339E-06   0.2993358E-07
  0.7747583E+01   0.2857466E-06   0.2991083E-07
  0.7813852E+01   0.2904258E-06   0.2988716E-07
  0.7880689E+01   0.2951723E-06   0.2986256E-07
  0.7948097E+01   0.2999868E-06   0.2983704E-07
  0.8016081E+01   0.3048700E-06   0.2981058E-07
  0.8084647E+01   0.3098229E-06   0.2978319E-07
  0.8153800E+01   0.3148461E-06   0.2975487E-07
  0.8223544E+01   0.3199404E-06   0.2972562E-07
  0.8293885E+01   0.3251066E-06   0.2969544E-07
  0.8364827E+01   0.3303456E-06   0.2966432E-07
  0.8436376E+01   0.3356580E-06   0.2963228E-07
  0.8508537E+01   0.3410447E-06   0.2959930E-07
  0.8581315E+01   0.3465066E-06   0.2956539E-07
  0.8654716E+01   0.3520443E-06   0.2953055E-07
  0.8728745E+01   0.3576587E-06   0.2949477E-07
  0.8803407E+01   0.3633507E-06   0.2945807E-07
  0.8878707E+01   0.3691209E-06   0.2942043E-07
  0.8954652E+01   0.3749704E-06   0.2938187E-07
  0.9031246E+01   0.3808998E-06   0.2934237E-07
  0.9108496E+01   0.3869099E-06   0.2930195E-07
  0.9186406E+01   0.3930018E-06   0.2926059E-07
  0.9264982E+01   0.3991760E-06   0.2921831E-07
  0.9344231E+01   0.4054336E-06   0.2917511E-07
  0.9424158E+01   0.4117753E-06   0.2913098E-07
  0.9504768E+01   0.4182019E-06   0.2908593E-07
  0.9586067E+01   0.4247144E-06   0.2903995E-07
  0.9668062E+01   0.4313135E-06   0.2899306E-07
  0.9750759E+01   0.4380001E-06   0.2894525E-07
  0.9834163E+01   0.4447750E-06   0.2889652E-07
  0.9918280E+01   0.4516391E-06   0.2884687E-07
  0.1000312E+02   0.4585933E-06   0.2879632E-07
  0.1008868E+02   0.4656384E-06   0.2874485E-07
  0.1017497E+02   0.4727752E-06   0.2869247E-07
  0.1026201E+02   0.4800046E-06   0.2863919E-07
  0.1034978E+02   0.4873274E-06   0.2858501E-07
  0.1043831E+02   0.4947446E-06   0.2852992E-07
  0.1052759E+02   0.5022570E-06   0.2847394E-07
  0.1061764E+02   0.5098654E-06   0.2841706E-07
  0.1070846E+02   0.5175707E-06   0.2835929E-07
  0.1080006E+02   0.5253738E-06   0.2830063E-07
  0.1089244E+02   0.5332755E-06   0.2824109E-07
  0.1098561E+02   0.5412767E-06   0.2818066E-07
  0.1107957E+02   0.5493782E-06   0.2811935E-07
  0.1117434E+02   0.5575809E-06   0.2805717E-07
